Recency,Frequency,Monetary,Segment_Label,R_Next_3Months,Churn
45,4,999.6114192194179,0,1,2
13,7,2149.70666816626,3,1,2
18,7,1568.7967948897326,3,1,2
6,11,3165.026008622235,2,1,2
8,3,849.0391706058826,3,0,0
30,2,704.096553828518,3,1,2
70,12,3077.37481401004,2,1,2
17,11,3002.2964054108897,2,1,2
34,8,2708.278015067709,3,1,2
0,15,3704.0158285715343,2,1,2
112,6,1662.6040801171437,3,0,3
12,11,3436.257965358164,2,1,2
120,2,230.54449295911502,0,1,1
9,12,3217.246902095214,2,1,2
16,6,1595.128387228881,3,0,0
31,9,2803.2730219545597,3,1,2
8,12,3217.1564400607826,2,1,2
11,6,1634.3884816225031,3,1,2
5,4,589.6055150681934,3,1,2
24,7,1941.2079120353549,3,1,2
0,10,2608.8181883855164,2,1,2
6,14,4326.171848912324,2,1,2
36,6,1296.2002911413185,3,1,2
69,7,1860.331331818675,3,1,2
19,6,1518.395881167083,3,1,2
45,13,3903.3826645711843,2,1,2
11,12,2443.7892353029547,3,1,2
93,4,1322.354084424198,3,1,1
7,7,1932.034701691211,3,1,2
30,3,991.656570148253,3,1,2
39,8,2023.4679778719274,3,1,2
86,4,1356.751248265542,3,1,2
3,6,2092.02946767856,3,1,2
55,12,3407.422356771607,2,1,2
194,1,249.362710605389,0,1,1
27,11,2815.2690018784797,2,1,2
32,14,3441.4317663437823,2,1,2
0,9,2559.9235088024625,2,1,2
27,11,3149.245312605356,2,1,2
5,2,568.288219433434,3,1,2
106,7,1926.768158640358,3,1,1
38,9,2032.9367316233318,3,1,2
32,8,1218.5588367338144,3,1,2
42,12,2326.9587105311007,3,1,2
9,10,3059.494506610909,2,1,2
23,3,880.940552221596,3,0,0
15,12,2755.9884010247897,2,1,2
12,13,3367.0189754057405,2,0,0
5,5,1112.894689326973,3,1,2
6,10,3122.994160019543,2,0,0
39,12,2834.136372430013,2,1,2
15,10,3286.33067347567,2,1,2
26,12,3939.080571879373,2,1,2
33,6,1337.5053491321567,3,1,2
72,4,1523.799335959544,3,1,2
10,16,3796.5428342559153,1,0,1
14,14,4366.101915405408,2,1,2
15,11,3582.1401132352003,2,1,2
60,4,886.2511293517684,0,1,2
36,9,2297.0397354041593,3,1,2
0,17,3863.5071251255877,1,1,2
12,9,2138.08589936134,3,1,2
1,3,659.56478728677,3,0,0
22,9,2517.066301503335,2,1,2
102,7,2274.304338360691,3,1,1
68,5,1549.109300159834,3,0,0
24,9,2908.812917562034,2,1,2
32,11,3135.8996140402933,2,1,2
89,4,1178.6132123011882,3,0,0
8,10,2991.565058092964,2,1,2
109,4,1228.196031730028,3,1,1
11,11,2842.690256631825,2,1,2
17,13,3814.137762237767,2,1,2
5,10,2759.370804315207,2,1,2
6,10,2948.577907086279,2,1,2
12,4,933.24679118514,3,1,2
36,8,1655.1821358330528,3,1,2
52,5,1496.410357809752,3,1,2
11,16,4778.645195292148,4,1,2
66,7,2255.312063900224,3,1,2
8,12,3443.474101149084,2,0,0
45,1,203.431307629267,0,0,0
41,4,918.0888003360069,0,1,2
50,5,943.5781401244726,0,1,2
173,3,826.5304493956198,0,0,3
